tweet_id	label
110704	Lit-News_mentions
202231	Self_reports
304814	non-personal_reports
108220	Lit-News_mentions
304520	non-personal_reports
111771	Lit-News_mentions
109878	Lit-News_mentions
108416	Lit-News_mentions
111388	Lit-News_mentions
303383	Self_reports
303838	non-personal_reports
110777	Lit-News_mentions
110445	Lit-News_mentions
111519	non-personal_reports
303730	non-personal_reports
304451	non-personal_reports
111266	Lit-News_mentions
110135	Lit-News_mentions
110634	Lit-News_mentions
108543	Lit-News_mentions
304632	non-personal_reports
304035	Self_reports
202827	Self_reports
303636	Lit-News_mentions
108782	Lit-News_mentions
304292	non-personal_reports
303839	Self_reports
203129	Self_reports
111189	Lit-News_mentions
111667	Lit-News_mentions
108565	Lit-News_mentions
110997	Lit-News_mentions
110663	Lit-News_mentions
108681	Lit-News_mentions
110273	Lit-News_mentions
110070	Lit-News_mentions
108704	Lit-News_mentions
112236	Lit-News_mentions
203244	Self_reports
108692	Lit-News_mentions
303377	non-personal_reports
203193	Self_reports
109597	non-personal_reports
202281	Self_reports
303624	non-personal_reports
112132	Self_reports
111836	Lit-News_mentions
303394	Lit-News_mentions
202560	non-personal_reports
109468	Lit-News_mentions
109018	Lit-News_mentions
111018	Lit-News_mentions
111342	Lit-News_mentions
111261	Lit-News_mentions
303359	non-personal_reports
111402	Lit-News_mentions
202878	Self_reports
109776	Lit-News_mentions
111313	Lit-News_mentions
109709	Lit-News_mentions
304891	non-personal_reports
304326	non-personal_reports
202566	Self_reports
111624	Lit-News_mentions
108933	Lit-News_mentions
110793	Lit-News_mentions
304809	non-personal_reports
108276	Lit-News_mentions
110788	Lit-News_mentions
108283	Lit-News_mentions
108577	Lit-News_mentions
108201	Lit-News_mentions
304156	Lit-News_mentions
108949	Lit-News_mentions
111757	Lit-News_mentions
304039	non-personal_reports
108785	Lit-News_mentions
304444	Lit-News_mentions
112178	Lit-News_mentions
202474	Self_reports
202666	Self_reports
108993	Lit-News_mentions
109901	Lit-News_mentions
108337	Lit-News_mentions
108149	Lit-News_mentions
110251	non-personal_reports
202876	Self_reports
303294	Self_reports
110998	Lit-News_mentions
303457	non-personal_reports
304191	Lit-News_mentions
111142	Lit-News_mentions
111954	Lit-News_mentions
303861	non-personal_reports
108317	Lit-News_mentions
108269	Lit-News_mentions
109119	Lit-News_mentions
111994	Lit-News_mentions
203159	Self_reports
108847	Lit-News_mentions
109484	Lit-News_mentions
108819	Lit-News_mentions
303390	Self_reports
109141	Lit-News_mentions
111155	Lit-News_mentions
110458	Lit-News_mentions
303398	Self_reports
303353	Lit-News_mentions
304546	Self_reports
304846	non-personal_reports
203318	non-personal_reports
112152	Lit-News_mentions
304229	non-personal_reports
303316	non-personal_reports
303784	Self_reports
110272	Lit-News_mentions
110833	Lit-News_mentions
111779	Lit-News_mentions
110463	Lit-News_mentions
111991	Lit-News_mentions
202939	Self_reports
109639	Lit-News_mentions
109620	Self_reports
110066	Lit-News_mentions
304221	Self_reports
202786	non-personal_reports
108164	Lit-News_mentions
203205	non-personal_reports
110680	Lit-News_mentions
303885	non-personal_reports
108264	Lit-News_mentions
304617	non-personal_reports
203086	Self_reports
303777	non-personal_reports
109575	Lit-News_mentions
109459	Lit-News_mentions
304764	non-personal_reports
304413	non-personal_reports
203164	Self_reports
109356	Lit-News_mentions
202966	Self_reports
203239	non-personal_reports
112133	Lit-News_mentions
108144	Lit-News_mentions
110713	Lit-News_mentions
110417	Lit-News_mentions
203278	Self_reports
110432	Lit-News_mentions
108626	Lit-News_mentions
303605	Self_reports
112078	Lit-News_mentions
304911	Self_reports
203203	Self_reports
112022	Lit-News_mentions
111476	Lit-News_mentions
109739	Lit-News_mentions
110386	Lit-News_mentions
109321	Lit-News_mentions
303578	non-personal_reports
203154	Self_reports
111079	Lit-News_mentions
110768	Lit-News_mentions
108272	Lit-News_mentions
110522	Lit-News_mentions
110384	Lit-News_mentions
303961	non-personal_reports
111223	Lit-News_mentions
304595	non-personal_reports
304669	Self_reports
111648	Lit-News_mentions
109954	Lit-News_mentions
111318	Lit-News_mentions
111883	non-personal_reports
110875	Lit-News_mentions
111087	Lit-News_mentions
108564	Lit-News_mentions
111580	Lit-News_mentions
111158	Lit-News_mentions
203168	non-personal_reports
111147	non-personal_reports
110293	Lit-News_mentions
108698	Lit-News_mentions
304816	non-personal_reports
111535	Lit-News_mentions
109744	Lit-News_mentions
304330	non-personal_reports
304720	non-personal_reports
109992	Lit-News_mentions
202970	Self_reports
111316	Lit-News_mentions
110015	Lit-News_mentions
203130	Self_reports
110075	Lit-News_mentions
108581	Lit-News_mentions
109627	Lit-News_mentions
109073	Lit-News_mentions
112096	Lit-News_mentions
304460	non-personal_reports
108903	Lit-News_mentions
109933	Lit-News_mentions
111989	Lit-News_mentions
303894	Self_reports
108500	Lit-News_mentions
303677	non-personal_reports
304124	Lit-News_mentions
304407	Lit-News_mentions
108740	Lit-News_mentions
109249	Lit-News_mentions
109070	Lit-News_mentions
109000	Lit-News_mentions
111202	Lit-News_mentions
202495	Self_reports
304281	non-personal_reports
111190	Lit-News_mentions
303366	non-personal_reports
112093	Lit-News_mentions
109439	Lit-News_mentions
111881	Lit-News_mentions
111335	Lit-News_mentions
108738	Lit-News_mentions
303712	non-personal_reports
109657	Lit-News_mentions
304484	non-personal_reports
109187	Lit-News_mentions
202299	non-personal_reports
111302	non-personal_reports
108189	Lit-News_mentions
109837	Lit-News_mentions
112126	Lit-News_mentions
303610	Self_reports
110587	Lit-News_mentions
303434	non-personal_reports
109873	Lit-News_mentions
304052	non-personal_reports
303713	non-personal_reports
110223	Lit-News_mentions
304134	non-personal_reports
108244	Lit-News_mentions
108588	Self_reports
303525	non-personal_reports
111454	Lit-News_mentions
111737	Lit-News_mentions
203056	Self_reports
111362	Lit-News_mentions
303696	non-personal_reports
108456	Lit-News_mentions
109666	Lit-News_mentions
202760	Self_reports
108893	Lit-News_mentions
303363	non-personal_reports
303936	Self_reports
108429	Lit-News_mentions
304000	Lit-News_mentions
108434	Lit-News_mentions
111887	Lit-News_mentions
202352	Self_reports
111068	Lit-News_mentions
112007	Lit-News_mentions
303556	Lit-News_mentions
111182	Lit-News_mentions
303926	non-personal_reports
304325	Lit-News_mentions
108546	Lit-News_mentions
111197	Lit-News_mentions
109481	non-personal_reports
111061	Lit-News_mentions
109463	Lit-News_mentions
110311	Lit-News_mentions
110984	Lit-News_mentions
109289	Lit-News_mentions
110231	Lit-News_mentions
202505	Self_reports
303874	non-personal_reports
108526	Lit-News_mentions
202384	non-personal_reports
111893	Lit-News_mentions
111661	Lit-News_mentions
111046	Lit-News_mentions
112163	Lit-News_mentions
108251	Lit-News_mentions
304401	non-personal_reports
303409	non-personal_reports
110904	Lit-News_mentions
202796	Self_reports
112128	Lit-News_mentions
110745	Lit-News_mentions
110410	Lit-News_mentions
203063	Self_reports
111806	Lit-News_mentions
111565	Lit-News_mentions
109715	Lit-News_mentions
108705	Lit-News_mentions
108788	Lit-News_mentions
111331	Lit-News_mentions
111862	Lit-News_mentions
110868	Lit-News_mentions
111514	Lit-News_mentions
203252	Self_reports
109470	Lit-News_mentions
110623	Lit-News_mentions
109143	Lit-News_mentions
203014	Self_reports
304873	non-personal_reports
304768	Self_reports
111666	Lit-News_mentions
109591	Lit-News_mentions
112230	Lit-News_mentions
109129	Lit-News_mentions
202732	Self_reports
111634	Lit-News_mentions
109002	Lit-News_mentions
304017	Lit-News_mentions
111619	Lit-News_mentions
111744	Lit-News_mentions
109653	Lit-News_mentions
110306	Lit-News_mentions
112010	Lit-News_mentions
110810	Lit-News_mentions
202556	Self_reports
304480	non-personal_reports
111752	Lit-News_mentions
109405	non-personal_reports
109585	Lit-News_mentions
110436	Lit-News_mentions
112172	Lit-News_mentions
108816	Lit-News_mentions
303670	non-personal_reports
108915	Lit-News_mentions
110335	Lit-News_mentions
304070	non-personal_reports
303472	Lit-News_mentions
112166	Lit-News_mentions
109243	Lit-News_mentions
202747	Self_reports
109072	Lit-News_mentions
304539	Self_reports
109332	Self_reports
110130	Lit-News_mentions
303762	Self_reports
111813	Lit-News_mentions
108831	Lit-News_mentions
202626	Self_reports
202603	Self_reports
108545	Lit-News_mentions
304454	Lit-News_mentions
202532	Self_reports
111508	Lit-News_mentions
109508	Lit-News_mentions
111008	Lit-News_mentions
109719	Lit-News_mentions
111293	Lit-News_mentions
111497	Lit-News_mentions
111588	Lit-News_mentions
303557	Lit-News_mentions
108222	Lit-News_mentions
303722	non-personal_reports
112202	Lit-News_mentions
108691	Lit-News_mentions
110240	Lit-News_mentions
108175	Lit-News_mentions
109516	Lit-News_mentions
109931	Lit-News_mentions
109727	Lit-News_mentions
110733	Lit-News_mentions
304756	non-personal_reports
110596	Lit-News_mentions
202247	Lit-News_mentions
111433	Lit-News_mentions
111274	Lit-News_mentions
111659	Lit-News_mentions
202929	Self_reports
202888	Self_reports
109491	Lit-News_mentions
109632	Lit-News_mentions
109146	Lit-News_mentions
111117	Lit-News_mentions
304497	Self_reports
110698	Lit-News_mentions
109749	Lit-News_mentions
109884	Lit-News_mentions
110883	Lit-News_mentions
111835	Lit-News_mentions
111472	non-personal_reports
109053	Lit-News_mentions
303593	Self_reports
304386	non-personal_reports
303548	Lit-News_mentions
109876	Lit-News_mentions
203257	Self_reports
303503	non-personal_reports
