	tweet_id	text	label
0	1112273204582801408	at 50 votes i will close this survey and take some new photos .... ;-)	0
1	993749367512170496	21st birthday and nearly 4 months pregnant, no regrets👶🏼💕	1
2	847896906407624704	@_DudeThePie // I'd be killed. He's literally my 10th picture. https://t.co/d0fPgUtDmG	0
3	550649598206050305	This year I'm gonna become a mum and turn 20, waaaaah. 🙊☺️	1
4	742508883630030848	Don't mind me. Just freaking out because Mary-Kate and Ashley Olsen turned 30. https://t.co/p3RbQJrM5N	0
5	937010210681503744	I’ll be 20 tomorrow	1
6	1087691319961624577	@iamlegitdaily It’s not the age that counts even at 40 that question will play in your head it’s bank account https://t.co/jz6kaaYBFn much is available to invest.If you got enough,house is way better you will never regret.	0
7	611199473440698368	HAPPY BIRTHDAY STIAN (stiandav )Your turning 14 dude.Happy birthday to you 🎶happy birthday to… https://t.co/yCp07gRSdX	0
8	901471361230675969	@MB_StayGOOD @Mrs_OctoburrrJB They are 12 years old tho.. will they still take them?	0
9	1154813307699847168	In my 22 years of life I have never seen my dad clean.... He's cleaning now. I'm scared y'all	1
10	978887051868278786	Canada teen wins $1000 a week for life on 18th birthday https://t.co/7w7Pm1z0lB	0
11	911771624462012416	@AshMoLash5 Girl... I’m already on this mood at this point &amp; my 29th bday is in November. 🙃🙃🙃	1
12	918602692749959168	Went to get 11yo’s hair cut at hubby’s hair cutting place. He gave me the address. There were three hair cutters at the address.	0
13	846725163613917184	Asked @SusanCredle for her 3 favorite ads. She saw one of them at 14 years old watching Star Search. https://t.co/ULZNO1fqm2 #BestAdsEver https://t.co/MAp3PClwU0	0
14	944287488830574594	@thulasindi Cause I thought I was the only 1 hitting 70 years old 😂	0
15	1042761874629189633	My 38th 🎂 today. I produced 7 features in the last 12 years all while working at the mall. I’m BROKE and TIRED. But dammit, I still intend to find the will to bring these to life:A Ghost FilmA Werewolf FilmA Kids Horror FilmChristmas Horror &amp; MOREThere’s still time. https://t.co/nmhXnbZCPf	1
16	820722461079732231	@ticketqueen67 I did it in 2012. Amazing experience. All booked for this year now but only half moon. Walking with my 13yo son!	0
17	789318898839490560	such a high level of comfort knowing that even at 20 years old i can still sleep in my moms bed on rough/sad nights	1
18	1154457685489676289	@fayeisaband @cyancais @pulloverrrr @GameBreax @OmegaSparx @SWATS_GBX At 16, most folks are still learning how to play. Charlotte's @abbykonbass is already playing gigs with @hurricanenita and was one of just three bassists in the U.S. selected to attend GRAMMY Camp. Joke's on the band that didn't let her in. #2019MusicIssue https://t.co/9yUCNgPX9p	0
19	740757715572555777	EVERY family I know has been affected by opioid addiction. My 73 y/o mom. @1200CreativeInn @realDonaldTrump	0
20	1011501742104633345	So who’s sending me $10 for my birthday? LIKKKKEEEEEE, it’s only $10. I’m just trynna have a drink or two on Wednesday. C’mon.  #cashapp #PayPal  #applepay your choice b. #birthdaywishes	0
21	916771381748084738	@SilverStarBack @Radiofunker210 I has my kid at 16, dudes like him are the same ones bashing women for having kids… https://t.co/dyxzqmTvBC	0
22	1050400597768323078	ive been sexualized since the age of 13. i chose to embrace it, others don’t.    i, nor anyone else, should’ve never been given that choice especially at 13.	0
23	979538828003332097	@DukoShannon You are my hero!!!!! I am 18 years old and have an 8 month old daughter!!!!! You and mckayla are so awesome!!!!!! You and mckayla are such an inspiration to me!!!!! I have been watching mckayla since her first video announcing she was pregnant!!!!!! I love you guys so much!!!!	1
24	804329166137163780	Heads up @DrouthyCobbler, @CharisEdweeeeee &amp; I are in later to critique your French martinis &amp; celebrate 🎉 30th birthdays	0
25	754648780650188800	Hoe gone be 40 years old still saying poopoo 😒	0
26	528290793791164416	Still scared of Hocus pocus at 20 years old 🙈... #hidingbehindbill	1
27	960791321475772416	Today marks 100 years of #votesforwomen (over the age of 30).To celebrate this historic event we've made a short film on two remarkable #suffragettes (see the snippet below) and curated a range of resources on women's history. Take a look...https://t.co/QcsDwrTVP1#Vote100 https://t.co/AVEvkNTwki	0
28	621862935695106048	Ringing in my 24th with my people❤️ #birthday #celebrate #drinks #favorites @ Jalapeno's Metro Bar &amp;… https://t.co/JC3ASHvSCF	1
29	913442683884064768	GoPro Hero 6 Black shoots 4K video at 60 fps and is on sale today: https://t.co/SviaARi6aZ	0
30	958081400040812544	my mom spoils the hell out of me still at 19 yrs old lmao she brought me food to work bc i wasn’t feeling good😢💕 mom of the year right there!	1
31	654364764181819392	Is it sad that at 18 I look forward to getting into bed early more than a night out	1
32	1057530107777056769	I lost my virginity at 19 – Kush Tracy tells fans https://t.co/CkDY9UKGBo	0
33	804993941934374912	Reekado Banks lists his achievements at 22, view at https://t.co/5ThTIvlEAv	0
34	878984725217632257	From people over the age of 60.  Rant over	0
35	814962626291712000	Okay fans, @SinBinSPHL has set the over/under at 57 total PIM tonight. What do you think? #FAYvsKNX @FireAntzHockey	0
36	586634659632652288	I WANNA WISH MY BABY GIRL ....WAIT WAIT WAIT MY BIG GIRL A HAPPY 11th BIRTHDAY ......YOU ARE AN… https://t.co/SWgjx2JflF	0
37	869183555091476480	In no rush to turn 20 tbh, in fact I think I'm going to skip my 20's &amp; 30's....40's it is 😏 https://t.co/qmdVj6qGpc	1
38	1112568005429465088	"@AbbyJohnson @rosheenamend @Twitter @UnplannedMovie @jack ""Hey. I am 21 yo, I want to have sex with a rude man. I am ready in all holes and will be anobedient girl.💋💑Waiting for you??Register and Write ✍✍https://t.co/haFFgNb29g🍆🍑💦Note: Verify Email to send msg to girls""📲"	0
39	1138095038695710721	What age did y'all think your body started breaking down? How did you react the first time you pulled your back at 26 years of age?	0
40	1016125570453790722	My dad turned 55 today and he legit looks a very good 40. Come through genetics 🙌🏽	0
41	877896977614200832	This is a 71 y.o. man, and the PRESIDENT OF THE US. Yes, he is calling other adults name and acting like a poorly behaved child. #BasicPOTUS https://t.co/OdCafE119q	0
42	191555551208022016	16th birthday todayy!	1
43	1080466409002622976	@FBlankenshipWSB Happy new year!!!!  May you continue to be blessed and I was going to tell you on December 24 shout me out for my birthday but I party so hard and didn't realize turning 46 you have to workout before partying. Was to sore to text.	1
44	585597081097805825	Like I turn 20 in July but I'm only gonna be 20 idk if that's weird or wut 😅	1
