tweet_id	tweet_text	label
104700	If Pfizer believes we need a booster shot, we need it. Who knows their product better? Following the guidance of @CDCgov is how I wound up w/ Covid-19 and having to shut down my K-2 classroom for an entire week. I will do whatever it takes to protect my students, friends &amp; family	Vaccine_chatter
102330	#COVID19 #vaccine the country is a mess, the government ia a shambles, the vaccination may or may not work, our borders are still open and still nobody takes it anywhere serious enough. ☠	Vaccine_chatter
103848	NIH's Fauci: Proceeding as if we will need to deploy a vaccine. Takes months to prove efficacy. #Wuhan #coronavirus #CDC @anthonymace	Vaccine_chatter
108270	@NightmareHolic @eretserus @elonmusk Human herd immunity is the only effective vaccine. It’s the only way this virus goes away for good. You can only create a vaccine for one strain of this thing at a time. I’d also love to see any evidence of any vaccine working against any previous coronavirus.	Vaccine_chatter
104210	It is still unclear when a COVID-19 vaccine would be approved for use or be distributed. Banner Health will independently validate the safety and efficacy of the vaccine before it is administered. (21/25)	Vaccine_chatter
109064	@mynameisme91 Thank you! He’s the MAN!This virus has a bunch of mutation, which helps in getting to a universal coronavirus vaccine, but can sometimes be catastrophic.He just relieved so much anxiety.	Vaccine_chatter
107240	This is AWESOME news on the same day that I got my first COVID-19 vaccine. This is an epic deluxe cover of the already beautiful album that is LOVE IS AN ART.	Vaccine_chatter
110458	The Republicans are gearing up to once again vote against covid relief and funding for vaccines and testing so we can get back to business. If every Democrat votes for the bill, it will pass without them, but it shouldn't be so close. #StimulusChecksNOW #COVID19 #vaccine	Vaccine_chatter
110598	Ignorance is going to be the end of human existence. You want any sense of normal back in our lives, get the vaccine.	Vaccine_chatter
100374	@TomiLahren @JohnCooper4Nash #republicans are supporting an insane president #trump who is blocking YOUR #covidreliefbill  YOU will get NO #VACCINE , NO #UNEMPLOYMENTBenefits No aid for #hospitals #FrontLineHeroes NO #stimuluscheck They let #covid19 spread now they want us homeless and starving and homeless	Vaccine_chatter
103921	Windows has been going 40+ years and is still riddled with viruses. And you now want us to take your vaccine against coronavirus?! Fuck. Right. Off. You. Paedo.	Vaccine_chatter
109541	Gates is an admitted eugenicist and wants to force you and your families to have a coronavirus vaccine. 👇	Vaccine_chatter
105557	@ToLey88 @FQMule You realize we might never get a vaccine? There’s never been a vaccine for a coronavirus.	Vaccine_chatter
101851	Perhaps when there's a COVID-19 vaccine in the coming months (or years), it can help countries like Pakistan increase national immunization stats if routine immunization is coupled with the virus jab/drops. Should the state, however, make vaccination a mandatory citizenship duty?	Vaccine_chatter
106548	I only got the flu shot twice in my life &amp; I don’t plan on getting it this year. They so busy with a vaccine for the coronavirus, who knows if they’re even paying attention to which flu strain will be out this year. Not saying there’s not multiple labs to accommodate but 🤷🏽‍♀️	Vaccine_chatter
102454	I'm guessing they will be going the discovery route and buying the vaccines from the department of health. Knowing the WC, they'll pretend they bought them independently 🤦‍♀️. Worst of all, we already know the demographic that they will be vaccinating first if this goes through 🙄	Vaccine_chatter
103735	"@realDonaldTrump @Varneyco You don't get the credit; scientists do. You said, any American who wants a COVID-19 test can get one. Um...no they STILL CAN'T!!!! SO NOT EVERYONE WILL GET ""YOUR"" VACCINE IN BY JANUARY."	Vaccine_chatter
109207	@Diggab68 @G1auber @petemuntean @Acosta Can't believe you guys are actually worried that you won't get your jab for the common coronavirus...smh. You people really think this is a pandemic, huh?	Vaccine_chatter
104085	So the problem is getting tested. I’m unvaxxed and untested. So I’ll remain for the rest of my life. Wanna bet, sheeple?	Vaccine_chatter
103951	I got my mom scheduled for the Covid-19 vaccine. A great relief to me, to be honest.#fridaymorning #FridayMotivation	Vaccine_chatter
101511	@BlueOctober2020 @mrleggaiy1 @wellreadisjen @SarahJMTaylor @SBSNews The current oxford vaccine is based off the work they did on the non-mild coronavirus forms of SARS and MERS. But since they were contained, the urgency to continue the work was reduced until COVID 19	Vaccine_chatter
103153	Isn’t it incentive enough to help humanity &amp; get the vaccine? I think offering $200 to employees to take the shot is offensive considering the 300,000+ who died because they didn’t have an similar opportunity in time. I will never advocate for this in The Village.	Vaccine_chatter
103031	My dad is in NY 84. @NYGovCuomo would rather see vaccines thrown out than given to my dad or other elderly New Yorkers.	Vaccine_chatter
107248	@AudreyManaster2 This is how the new vaccine will be produced, I think with changes in the coronavirus DNA genomes and why in some trials now they've been halted due to test human subjects having serious reactions. Why a rushed vaccine could have devastating effects. My assumption from readings.	Vaccine_chatter
111023	@HHwfc @Cris_Without_H @radude6 @BBCWorld Yes, but the MRNA vaccine has been in development for a decade. My understanding is that HIV is difficult because it takes years to present in your system, but a coronavirus’s impact is virtually immediate, making it easier for the vaccine to work.	Vaccine_chatter
105069	Spread the word, it’s despicable that fraudsters are playing on peoples’ fear in this way. #Covid19UK #vaccine is free. -#CoronavirusFraud	Vaccine_chatter
101919	@nbcwashington Never thought we would transform to communism this fast. Are we going to need to show proof of a flu vaccine also.Hopefully nobody attends to protest the government control. If you think I'm joking, name one previous coronavirus that we needed to show proof of vax for.	Vaccine_chatter
100492	&amp; the person that voluntary signed up to do the coronavirus vaccine had ab adverse reaction and trying to stay ‘optimistic’ lmao. People need to do their research on what’s actually in vaccines.	Vaccine_chatter
111212	@Jim_Jordan Love ya, @Jim_Jordan but we can’t “beat” COVID-19 the way we’re trying. Stop with the vaccines and the testing. The virus is here to stay, but will get weaker if we stop these useless vaccines	Vaccine_chatter
108217	I know it’s easy to panic when these headlines come across our timelines, but an entire arsenal of vaccine candidates is slowly building up.Shots on goal approach has never been more valuable than it is right now. Hopefully this is just a bump in the road for one candidate.	Vaccine_chatter
103870	@gclight And you, with TDS.  There will be a Coronavirus vaccine eventually. Unfortunately, I don't think the same can be said for TDS.   #KAG2020	Vaccine_chatter
111445	@Reuters If they can develop vaccines for COVID-19 this fast, there is no excuse anymore as to why there are not vaccines for other diseases!	Vaccine_chatter
108312	I got both jabs, but I do not believe that anyone should be forced to have the vaccine.I am against Covid passports so much so I've deleted the NHS APP. My support is with everyone against the Covid19 passports. Yep I am a @Conservatives Member. @BorisJohnson man up.	Vaccine_chatter
111138	Is there any sane person in this world who would resist to take a covid-19 vaccine ?If somebody resists, we don't want such creatures	Vaccine_chatter
