	tweet_id	user_id	text	created_at	label
0	719590190138986497	580495050	pt said that #generic crestor gave him muscle aches but original brand name crestor did not.	4/11/2016 12:00:00 AM	0
1	916033047803432960	195840877	@MoorseyL She's home.  Got her off the Atorvastatin and she's not in pain any longer.  Bloody hospitals.... Grrrr.	10/5/2017 12:00:00 AM	1
2	693106700321214464	342415585	RT @_lunnada: @getcha_someTEA Advil pms work	1/29/2016 4:21:29 PM	0
3	495646274235170817	395547842	... @ELLEundateable difference being I managed to find my Mr Right. I know yours is out there, too. Sertraline &amp; my dog are my other BFFs ;)	8/2/2014 7:04:15 PM	0
4	507229419786612736	500746277	@cvshealth @cvshealth  i guess you can drop profits from smoking because you are raping us on crestor	9/3/2014 12:00:00 AM	0
5	299602251117371392	1045548457	Really bad headache😭 @generalgreve being me some soup.. Tylenol.. And a thermometer... Pleaseeee 😨😩	2/7/2013 7:35:17 PM	0
6	740934015734185984	391241586	@stacyjorgensen @loumalnatis @michelekerulis   just remembered i need to refill my atorvastatin script.	6/9/2016 12:00:00 AM	0
7	906223022972911617	31012378	Nope. Be patient. Don't peel it. Just keep the area hydrated (aloe/vit.e) and protected. Cortisone helps. Silicone gel helps too. https://t.co/wyII6tSBXK	9/8/2017 6:29:40 PM	0
8	821723495637741572	14109848	I know shockingly few people who have died of counterfeit penicillin is what I'm saying.	1/18/2017 2:18:42 PM	0
9	882132136852979713	535011395	Being pregnant sucks cause when your in pain there's nothing you can do when Tylenol doesn't work 🤘🏼😭	7/4/2017 7:01:05 AM	0
10	881225976079896576	240783027	went got me some antibiotic,cough syrup, &amp; throw up medicine from the hospital now I'm snapping back to myself..	7/1/2017 7:00:19 PM	0
11	739874319988199424	413668581	Low attention span cause these adderalls work	6/6/2016 5:39:18 PM	0
12	592310336394518528	3091636324	buy yellow xanax bars online http://t.co/V7ryWRnBKd	4/26/2015 12:52:43 PM	0
13	896460072926236673	82928786	Cialis horror stories - Michigan weight loss specialist https://t.co/VplbvS3t1Z	8/12/2017 7:55:11 PM	0
14	869345053336055809	578592518	"I love when they say things like this. Like ""whoops! Took that ambien instead of my thyroid pill!"" https://t.co/CtNG6cyFYX"	5/30/2017 12:09:47 AM	1
