tweet_id	user_id	text	created_at	label
719590190138986497	580495050	pt said that #generic crestor gave him muscle aches but original brand name crestor did not.	4/11/2016 12:00:00 AM	0
916033047803432960	195840877	@MoorseyL She's home.  Got her off the Atorvastatin and she's not in pain any longer.  Bloody hospitals.... Grrrr.	10/5/2017 12:00:00 AM	1
693106700321214464	342415585	RT @_lunnada: @getcha_someTEA Advil pms work	1/29/2016 4:21:29 PM	0
495646274235170817	395547842	... @ELLEundateable difference being I managed to find my Mr Right. I know yours is out there, too. Sertraline &amp; my dog are my other BFFs ;)	8/2/2014 7:04:15 PM	0
507229419786612736	500746277	@cvshealth @cvshealth  i guess you can drop profits from smoking because you are raping us on crestor	9/3/2014 12:00:00 AM	0
299602251117371392	1045548457	Really bad headache😭 @generalgreve being me some soup.. Tylenol.. And a thermometer... Pleaseeee 😨😩	2/7/2013 7:35:17 PM	0
740934015734185984	391241586	@stacyjorgensen @loumalnatis @michelekerulis   just remembered i need to refill my atorvastatin script.	6/9/2016 12:00:00 AM	0
906223022972911617	31012378	Nope. Be patient. Don't peel it. Just keep the area hydrated (aloe/vit.e) and protected. Cortisone helps. Silicone gel helps too. https://t.co/wyII6tSBXK	9/8/2017 6:29:40 PM	0
821723495637741572	14109848	I know shockingly few people who have died of counterfeit penicillin is what I'm saying.	1/18/2017 2:18:42 PM	0
882132136852979713	535011395	Being pregnant sucks cause when your in pain there's nothing you can do when Tylenol doesn't work 🤘🏼😭	7/4/2017 7:01:05 AM	0
881225976079896576	240783027	went got me some antibiotic,cough syrup, &amp; throw up medicine from the hospital now I'm snapping back to myself..	7/1/2017 7:00:19 PM	0
739874319988199424	413668581	Low attention span cause these adderalls work	6/6/2016 5:39:18 PM	0
592310336394518528	3091636324	buy yellow xanax bars online http://t.co/V7ryWRnBKd	4/26/2015 12:52:43 PM	0
896460072926236673	82928786	Cialis horror stories - Michigan weight loss specialist https://t.co/VplbvS3t1Z	8/12/2017 7:55:11 PM	0
869345053336055809	578592518	"I love when they say things like this. Like ""whoops! Took that ambien instead of my thyroid pill!"" https://t.co/CtNG6cyFYX"	5/30/2017 12:09:47 AM	1
990876175684718592	901759611849457666	Due to my anxiety while waiting for the UPCAT Results, I had an asthma attack and my BP went up to 140/80 sa clinic. Now I have to take my maintenance for asthma and atorvastatin for my cholesterol. Huhu. So much for UPCAT.	4/30/2018 12:00:00 AM	0
828291886288875520	343826177	RT @MorgannMurray: People on xanax are annoying af	2/5/2017 5:19:09 PM	0
446859704372039680	337514354	holy lipitor and prozac and ambien and prilosec......can u tell i've been studying pharm??	3/21/2014 12:00:00 AM	0
768644505926967296	2891478385	@lisabenroeck Greyson just had his last round of vaccines yesterday - thankfully he’s doing great. Praying for some calm in the house 2nite!	8/25/2016 3:01:45 AM	1
940998363763396613	201931433	I’m a 30 year old man who isn’t overweight but is still on the verge of needing a Lipitor prescription.	12/13/2017 12:00:00 AM	0
715291105978368001	3659441	@anniecoops maybe, but we prescribe loads of generic atorvastatin now instead of lipitor, salbutamol not ventolin, etc, etc	3/30/2016 12:00:00 AM	0
969596193599877120	898358889455943680	"@ThatKevinSmith As a 32 year old ""normal-sized"" dude who has bad cholesterol and is already on lipitor, you've inspired me to make some additional changes to my dietary intake and lifestyle.  As if you haven't been inspiring enough all these years.  Keep on ticking, brother."	3/2/2018 12:00:00 AM	0
27731328569	31167092	Early morning... seeing things on the Bright side.. I'm going to be productive Today!! Someone give me an adderall Pronto.	10/18/2010 12:54:07 PM	0
525509392612204544	550816197	I gotta drink ZZZQuil to fall asleep	10/24/2014 4:49:37 AM	0
779354192070651904	2429267467	@reneeneyyyy Advil/Motrin don't work for me anymore lol I've never tried pamprin but I could try it! 😩	9/23/2016 4:18:13 PM	0
551197659097464833	60401201	Sophia is so sick.. she can't breathe, and she won't eat, won't take medicine and won't drink pedialyte..	1/3/2015 2:05:37 AM	0
878463142212272128	39392397	dermaplast is my holy grail postpartum item from hospital . soothes itchiness and pain so quick!	6/24/2017 4:01:48 AM	0
834078449610391552	2987657980	@studyingfiancee Oh gosh. I hear you totally have no idea what's happening! I only had novacaine when I had my first one out 🙈	2/21/2017 4:32:53 PM	1
823561325192347649	21549663	I count on Advil® cold products for quick relief of my cold symptoms! #sponsored #AdvilSinusCrowd https://t.co/HzGUcRfCxw	1/23/2017 4:01:35 PM	0
735332972270882818	17655181	Honestly I just took two Benadryls and I'm effing psyched for what happens next 😴💤😴💤😴💤😴💤	5/25/2016 4:53:37 AM	0
509463199779799041	45761010	Yes, I'm very excited. You just can't tell because I'm on Zoloft.	9/9/2014 10:07:46 PM	0
868515290505719809	343003821	Nawwwww percs do nothing for me either unless we drugged tf out cus I had to take mines with an 800 ibuprofen https://t.co/X8ntWQ9RNO	5/27/2017 5:12:36 PM	0
612326388545286145	18119538	@HAlanScott LA weather is so on Prozac.	6/20/2015 6:29:22 PM	0
671487590579728384	17764146	With Advil®, pain no longer exists! Simple as that.  https://t.co/iBdUJP8gnb #fastadvilfanatics #sponsored	12/1/2015 12:34:51 AM	0
568249991967301632	1955475601	Pounding headache need some tylenol or Advil or something 😖	2/19/2015 3:25:30 AM	0
780399295036059648	299936319	Just wish I could take a muscle relaxant or something my back is killllling me	9/26/2016 1:31:05 PM	0
874353269526732800	531474455	i literally feel like i'm on benzodiazepines after that nap guys. i feel fucking euphoric. i'm gonna serve the fuck out of these old people	6/12/2017 7:50:38 PM	0
736584000664272896	1909321243	"Agree with Dr. Weixel's answer to ""I had an operation 2 1/2 weeks ago and am on Xarelto.  I would like to take 1 x 25..."" - http://htap.u..."	5/28/2016 3:44:45 PM	0
952921715818029057	952919545227939841	@DrGundry Hi Dr Gundry,what alternatives,if any for post MI besides aspirin and crestor.I take a baby aspirin and 5 mg of crestor daily.I juzt started reading the plant paradox and am completely imersed as well as blown away	1/15/2018 12:00:00 AM	0
839035756203098113	15119949	*swigs gaviscon and scowls*	3/7/2017 8:51:27 AM	0
714201053298700289	702473628428800000	#berniemadememillennial so i can put away my lipitor and eat cheese burgers again!	3/27/2016 12:00:00 AM	0
731954753203240961	352790229	@kisschiss_ lmao sort this morphine is kicking in so I can't spell rn	5/15/2016 9:09:46 PM	0
909269538415427585	577062239	@jstuart87 you win. mines ZanTac	9/17/2017 4:15:26 AM	0
906639227638743041	141945888	RT @Smiley360: What are you accomplishing thanks to the #PowerfulRelief of Advil Menstrual? Let us know through your Sharing Tools! #ad htt…	9/9/2017 10:03:31 PM	0
613178697093287936	481049964	So we argued because i wanted a bottle of pepto bismol but he thought it would be smart to get two small tablet packs from the gas station	6/23/2015 2:56:08 AM	0
872476770691371008	1634983640	Police at Risk for Accidental Opioid Overdoses - U.S. News &amp; World Report https://t.co/L3TXhLl3PM	6/7/2017 3:34:06 PM	0
